site,date,issue_date,actual,target_age_days,target,predicted,baseline_predicted,experimental_tail_probability,actual_tail_event,experimental_flag,error,baseline_error,source_error,season,year,history_age,event_group,site_training_status,extreme_group
53033104,2025-08-19,2025-08-12,75.21,39,oxygen_saturation,79.12042209304718,80.97,0.2635483449303399,1,False,3.9104220930471882,5.760000000000005,3.9104220930471882,summer,2025,36–60 days,historical_tail_event,unseen_in_model_fit,within_training_5th_95th_percentiles
5303306,2025-12-06,2025-11-29,1033.33,55,ecoli,23.088439999901073,15.590283881604211,0.2323600973236009,1,False,3.759777095722166,4.132691937421748,1010.2415600000988,winter,2025,36–60 days,historical_tail_event,seen_in_model_fit,within_training_5th_95th_percentiles
5303393,2025-07-04,2025-06-27,266.67,14,ecoli,5.332704774678938,2.2659863240170903,0.2323600973236009,1,False,3.7440274390314494,4.406193071341676,261.3372952253211,summer,2025,10–35 days,historical_tail_event,seen_in_model_fit,within_training_5th_95th_percentiles
5303391,2026-03-14,2026-03-07,266.67,16,ecoli,5.857964513717523,3.594793419988139,0.2323600973236009,1,False,3.66434419890995,4.0648310812693556,260.81203548628247,spring,2026,10–35 days,historical_tail_event,seen_in_model_fit,within_training_5th_95th_percentiles
53033104,2025-12-20,2025-12-13,433.33,100,ecoli,10.764219973725368,100.00000000000004,0.2323600973236009,1,False,3.6087418944246856,1.458684096988942,422.56578002627464,winter,2025,61–120 days,historical_tail_event,unseen_in_model_fit,within_training_5th_95th_percentiles
241118182150,2025-04-06,2025-03-30,666.67,35,ecoli,17.66866033907475,133.32999999999996,0.2323600973236009,1,False,3.576947839253563,1.6034945804215575,649.0013396609252,spring,2025,10–35 days,historical_tail_event,unseen_in_model_fit,within_training_5th_95th_percentiles
241118182520,2025-06-12,2025-06-05,5733.33,39,ecoli,160.161487875358,299.99999999999966,0.2323600973236009,1,False,3.5718193036673638,2.947115931485926,5573.168512124642,summer,2025,36–60 days,historical_tail_event,unseen_in_model_fit,outside_training_5th_95th_percentiles
241118183206,2026-02-28,2026-02-21,213.3,33,turbidity_reported,5.24,5.24,0.0967048163262113,1,False,3.536396720098195,3.536396720098195,208.06,winter,2026,10–35 days,historical_tail_event,unseen_in_model_fit,outside_training_5th_95th_percentiles
241118181609,2026-01-31,2026-01-24,666.67,28,ecoli,20.814642229788593,133.06886077860327,0.2323600973236009,1,False,3.421212633248442,1.6054404851324824,645.8553577702114,winter,2026,10–35 days,historical_tail_event,unseen_in_model_fit,within_training_5th_95th_percentiles
251204215153,2026-03-06,2026-02-27,2033.33,35,ecoli,68.23415462333112,181.2638502281788,0.2323600973236009,1,False,3.3804275005546334,2.4124664415703414,1965.0958453766689,spring,2026,10–35 days,historical_tail_event,unseen_in_model_fit,outside_training_5th_95th_percentiles
241118181609,2025-07-12,2025-07-05,1666.67,35,ecoli,58.395133745379304,57.88403858432266,0.2323600973236009,1,False,3.3349704220845924,3.3436126594633873,1608.2748662546207,summer,2025,10–35 days,historical_tail_event,unseen_in_model_fit,outside_training_5th_95th_percentiles
53033105,2025-07-15,2025-07-08,2144.44,34,ecoli,76.67404818477151,49.69601956761501,0.2323600973236009,1,False,3.3185787371442093,3.7452525405307244,2067.7659518152286,summer,2025,10–35 days,historical_tail_event,unseen_in_model_fit,outside_training_5th_95th_percentiles
5303391,2025-08-03,2025-07-27,377.78,17,ecoli,13.42051727197855,4.025083685375754,0.2323600973236009,1,False,3.2683035585509925,4.322513453995002,364.3594827280214,summer,2025,10–35 days,historical_tail_event,seen_in_model_fit,within_training_5th_95th_percentiles
251204220155,2026-03-06,2026-02-27,1333.33,35,ecoli,50.79137272630455,156.73467881223837,0.2323600973236009,1,False,3.24896098648568,2.135270198709155,1282.5386272736953,spring,2026,10–35 days,historical_tail_event,unseen_in_model_fit,outside_training_5th_95th_percentiles
241118182407,2025-04-06,2025-03-30,566.67,35,ecoli,21.638906327180717,100.00000000000004,0.2323600973236009,1,False,3.2218703189031124,1.726419747126684,545.0310936728192,spring,2025,10–35 days,historical_tail_event,unseen_in_model_fit,within_training_5th_95th_percentiles
251204213047,2026-02-28,2026-02-21,140.2,57,turbidity_reported,4.654423047491228,4.654423047491228,0.1585197664492086,1,False,3.217739245896473,3.217739245896473,135.54557695250875,winter,2026,36–60 days,historical_tail_event,unseen_in_model_fit,outside_training_5th_95th_percentiles
5303391,2025-01-04,2024-12-28,5516.0,27,conductivity,224.2446396649917,287.4649025444864,0.1805929919137466,1,False,3.19840241433688,2.9510160896832938,5291.755360335008,winter,2025,10–35 days,historical_tail_event,unseen_in_model_fit,outside_training_5th_95th_percentiles
5303391,2026-03-14,2026-03-07,3550.0,16,other_coliform,144.43999999999997,144.43999999999997,0.0324423345626814,1,False,3.1952209025139187,3.1952209025139187,3405.56,spring,2026,10–35 days,historical_tail_event,seen_in_model_fit,within_training_5th_95th_percentiles
5303397,2026-02-07,2026-01-31,433.33,84,ecoli,18.463670536564436,3.2410248996826403,0.2323600973236009,1,False,3.1052549353025345,4.628999652173036,414.86632946343553,winter,2026,61–120 days,historical_tail_event,seen_in_model_fit,within_training_5th_95th_percentiles
53033100,2025-01-29,2025-01-22,65.0,64,turbidity_legacy,2.0000000000000004,2.0000000000000004,0.1087256568581122,1,False,3.091042453358315,3.091042453358315,63.0,winter,2025,61–120 days,historical_tail_event,unseen_in_model_fit,outside_training_5th_95th_percentiles
5303306,2025-12-06,2025-11-29,65.0,34,turbidity_legacy,2.0000000000000004,2.0000000000000004,0.140842457527255,1,False,3.091042453358315,3.091042453358315,63.0,winter,2025,10–35 days,historical_tail_event,seen_in_model_fit,outside_training_5th_95th_percentiles
5303391,2025-12-04,2025-11-27,300.0,25,ecoli,14.354703097970752,4.499113168673397,0.2323600973236009,1,False,2.9756884468964486,4.002523427570731,285.64529690202926,winter,2025,10–35 days,historical_tail_event,seen_in_model_fit,within_training_5th_95th_percentiles
