site,date,issue_date,actual,target_age_days,target,predicted,baseline_predicted,experimental_tail_probability,actual_tail_event,experimental_flag,error,baseline_error,source_error,season,year,history_age,event_group,site_training_status,extreme_group
5303305,2025-05-27,2025-05-20,17.5,42,water_temperature,12.905361071544776,12.461538461538462,0.2005177807650055,1,False,4.594638928455224,5.038461538461538,4.594638928455224,spring,2025,36–60 days,historical_tail_event,seen_in_model_fit,within_training_5th_95th_percentiles
53033103,2025-04-29,2025-04-22,1.1,25,dissolved_oxygen,5.681691417742603,5.93125,0.9289456624363864,1,True,4.5816914177426025,4.831250000000001,4.5816914177426025,spring,2025,10–35 days,historical_tail_event,unseen_in_model_fit,outside_training_5th_95th_percentiles
241118181240,2026-01-31,2026-01-24,400.0,28,ecoli,3.2483721156458607,1.0283120029293755,0.2323600973236009,1,False,4.547425549358328,5.286757505812649,396.75162788435415,winter,2026,10–35 days,historical_tail_event,unseen_in_model_fit,within_training_5th_95th_percentiles
53033103,2025-02-28,2025-02-21,9.1,28,dissolved_oxygen,4.58269138163936,5.575,0.8009689978991862,0,True,4.51730861836064,3.5249999999999995,4.51730861836064,winter,2025,10–35 days,ordinary_result,unseen_in_model_fit,within_training_5th_95th_percentiles
241118183629,2026-01-30,2026-01-23,1300.0,28,ecoli,13.6100212034247,73.12578505165624,0.2323600973236009,1,False,4.489180801455625,2.8651250303345943,1286.3899787965754,winter,2026,10–35 days,historical_tail_event,unseen_in_model_fit,outside_training_5th_95th_percentiles
241118182616,2026-01-30,2026-01-23,1366.67,28,ecoli,14.35958689392276,138.17611519357723,0.2323600973236009,1,False,4.489124008581202,2.2851236940874724,1352.3104131060772,winter,2026,10–35 days,historical_tail_event,unseen_in_model_fit,outside_training_5th_95th_percentiles
5303396,2026-01-11,2026-01-04,1011.11,42,ecoli,10.519257422842044,2.0034234905041965,0.2323600973236009,1,False,4.475772346225257,5.820039738055262,1000.5907425771579,winter,2026,36–60 days,historical_tail_event,seen_in_model_fit,within_training_5th_95th_percentiles
251221150343,2025-06-16,2025-06-09,0.42,120,dissolved_oxygen,4.630560598697238,1.5599999999999998,0.9476743151348838,1,True,4.210560598697238,1.14,4.210560598697238,summer,2025,61–120 days,historical_tail_event,seen_in_model_fit,outside_training_5th_95th_percentiles
53033100,2025-12-20,2025-12-13,600.0,65,turbidity_legacy,10.000000000000002,10.000000000000002,0.5995846068049672,1,True,4.000699661736837,4.000699661736837,590.0,winter,2025,61–120 days,historical_tail_event,unseen_in_model_fit,outside_training_5th_95th_percentiles
5303321,2025-04-18,2025-04-11,3.75,30,dissolved_oxygen,7.673881467052279,7.700000000000001,0.7980637763100489,1,True,3.9238814670522792,3.950000000000001,3.9238814670522792,spring,2025,10–35 days,historical_tail_event,seen_in_model_fit,outside_training_5th_95th_percentiles
5303318,2025-01-12,2025-01-05,233.33,29,other_coliform,10866.670000000002,10866.670000000002,0.7346748817017572,0,True,3.836817227422446,3.836817227422446,10633.340000000002,winter,2025,10–35 days,ordinary_result,seen_in_model_fit,within_training_5th_95th_percentiles
5303309,2025-01-11,2025-01-04,200.0,90,other_coliform,8900.000000000002,8900.000000000002,0.6492612021633104,0,True,3.790614000899856,3.790614000899856,8700.000000000002,winter,2025,61–120 days,ordinary_result,seen_in_model_fit,within_training_5th_95th_percentiles
241118182616,2026-03-06,2026-02-27,100.0,35,other_coliform,3733.33,3733.33,0.3557381074623361,0,False,3.610203180430907,3.610203180430907,3633.33,spring,2026,10–35 days,ordinary_result,unseen_in_model_fit,within_training_5th_95th_percentiles
241118183206,2026-02-28,2026-02-21,213.3,33,turbidity_reported,5.24,5.24,0.0967048163262113,1,False,3.536396720098195,3.536396720098195,208.06,winter,2026,10–35 days,historical_tail_event,unseen_in_model_fit,outside_training_5th_95th_percentiles
241118183404,2026-01-02,2025-12-26,133.33,91,other_coliform,4299.999999999997,4299.999999999997,0.4925629416198087,0,False,3.466303373708814,3.466303373708814,4166.669999999997,winter,2026,61–120 days,ordinary_result,unseen_in_model_fit,within_training_5th_95th_percentiles
251221150008,2025-02-16,2025-02-09,9.53,113,dissolved_oxygen,6.138883848294487,5.4275,0.8842246128433303,0,True,3.3911161517055124,4.102499999999999,3.3911161517055124,winter,2025,61–120 days,ordinary_result,seen_in_model_fit,within_training_5th_95th_percentiles
251221150928,2025-11-23,2025-11-16,7.03,94,dissolved_oxygen,3.6647456007333297,5.22,0.8171212273995283,1,True,3.3652543992666706,1.8100000000000005,3.3652543992666706,autumn,2025,61–120 days,historical_tail_event,seen_in_model_fit,within_training_5th_95th_percentiles
251221150343,2025-02-16,2025-02-09,7.1,113,dissolved_oxygen,3.735642470314987,4.72,0.9759711851125444,1,True,3.364357529685013,2.38,3.364357529685013,winter,2025,61–120 days,historical_tail_event,seen_in_model_fit,within_training_5th_95th_percentiles
241118183629,2025-04-04,2025-03-28,0.0,35,turbidity_reported,26.629999999999995,26.629999999999995,0.389379369867544,0,True,3.318902138935325,3.318902138935325,26.629999999999995,spring,2025,10–35 days,ordinary_result,unseen_in_model_fit,outside_training_5th_95th_percentiles
251204213047,2026-02-28,2026-02-21,140.2,57,turbidity_reported,4.654423047491228,4.654423047491228,0.1585197664492086,1,False,3.217739245896473,3.217739245896473,135.54557695250875,winter,2026,36–60 days,historical_tail_event,unseen_in_model_fit,outside_training_5th_95th_percentiles
5303391,2025-01-04,2024-12-28,5516.0,27,conductivity,224.2446396649917,287.4649025444864,0.1805929919137466,1,False,3.19840241433688,2.9510160896832938,5291.755360335008,winter,2025,10–35 days,historical_tail_event,unseen_in_model_fit,outside_training_5th_95th_percentiles
5303391,2026-03-14,2026-03-07,3550.0,16,other_coliform,144.43999999999997,144.43999999999997,0.0324423345626814,1,False,3.1952209025139187,3.1952209025139187,3405.56,spring,2026,10–35 days,historical_tail_event,seen_in_model_fit,within_training_5th_95th_percentiles
241118183308,2026-01-02,2025-12-26,200.0,91,other_coliform,4800.000000000003,4800.000000000003,0.492238830716252,0,False,3.1732746004718653,3.1732746004718653,4600.000000000003,winter,2026,61–120 days,ordinary_result,unseen_in_model_fit,within_training_5th_95th_percentiles
5303306,2025-12-06,2025-11-29,65.0,34,turbidity_legacy,2.0000000000000004,2.0000000000000004,0.140842457527255,1,False,3.091042453358315,3.091042453358315,63.0,winter,2025,10–35 days,historical_tail_event,seen_in_model_fit,outside_training_5th_95th_percentiles
53033100,2025-01-29,2025-01-22,65.0,64,turbidity_legacy,2.0000000000000004,2.0000000000000004,0.1087256568581122,1,False,3.091042453358315,3.091042453358315,63.0,winter,2025,61–120 days,historical_tail_event,unseen_in_model_fit,outside_training_5th_95th_percentiles
241118182245,2026-01-04,2025-12-28,33.33,93,other_coliform,700.0,700.0,0.1310108329961896,0,False,3.0164882795649897,3.0164882795649897,666.67,winter,2026,61–120 days,ordinary_result,unseen_in_model_fit,outside_training_5th_95th_percentiles
5303391,2026-03-14,2026-03-07,60.0,16,turbidity_legacy,2.0000000000000004,2.0000000000000004,0.1563082284246813,1,True,3.0122615755052013,3.0122615755052013,58.0,spring,2026,10–35 days,historical_tail_event,seen_in_model_fit,outside_training_5th_95th_percentiles
