target,segment,samples,sites,MAE_transformed,baseline_MAE_transformed,improvement_percent,source_MAE,source_bias,events,caught,missed,false_flags,recall,precision,small_sample
oxygen_saturation,251221145854,4,1,0.6602526801849038,6.0262500000000045,89.0437223781804,0.6602526801849038,-0.4626539768986646,0,0,0,0,,,True
oxygen_saturation,251221150008,2,1,18.554710279016703,15.487499999999997,-19.804424723271712,18.554710279016703,-5.542495824475786,2,2,0,0,1.0,1.0,True
oxygen_saturation,251221150232,4,1,1.1374316516178702,4.718125000000001,75.8922951041384,1.1374316516178702,-0.3375805726750336,0,0,0,0,,,True
oxygen_saturation,251221150343,4,1,23.071623469521093,13.443750000000001,-71.6159811772838,23.071623469521093,3.147354172363749,4,4,0,0,1.0,1.0,True
oxygen_saturation,251221150501,4,1,4.074252500218105,4.387500000000003,7.139544154573173,4.074252500218105,-0.4923656721625669,0,0,0,0,,,True
oxygen_saturation,251221150928,4,1,27.717021304760287,22.949999999999996,-20.77133466126489,27.717021304760287,0.019812035320045496,4,4,0,0,1.0,1.0,True
oxygen_saturation,251221151218,2,1,4.216475298557803,3.2250000000000085,-30.74342011031914,4.216475298557803,-4.216475298557803,0,0,0,0,,,True
oxygen_saturation,251221153641,1,1,7.971085060804199,2.3999999999999915,-232.12854420017612,7.971085060804199,-7.971085060804199,0,0,0,0,,,True
oxygen_saturation,251221153821,1,1,4.398287327577194,1.0000000000000142,-339.8287327577131,4.398287327577194,-4.398287327577194,0,0,0,0,,,True
oxygen_saturation,251221153909,1,1,3.741460296941895,8.09999999999998,53.8091321365197,3.741460296941895,3.741460296941895,0,0,0,0,,,True
oxygen_saturation,251221154015,1,1,4.116562416344436,0.7999999999999972,-414.57030204305636,4.116562416344436,-4.116562416344436,0,0,0,0,,,True
oxygen_saturation,251221154202,1,1,15.24049400835123,47.0,67.57341700350803,15.24049400835123,15.24049400835123,1,1,0,0,1.0,1.0,True
oxygen_saturation,5303305,13,1,4.465931351796697,4.489312354312347,0.5208147856584563,4.465931351796697,2.3774772038098737,1,0,1,1,0.0,0.0,True
oxygen_saturation,5303306,14,1,3.51899003708427,4.331320861678002,18.754805994193323,3.51899003708427,2.2650976945170536,0,0,0,0,,,True
oxygen_saturation,5303308,11,1,7.605359837054331,8.853085808131262,14.09368437309098,7.605359837054331,-7.605359837054331,0,0,0,0,,,True
oxygen_saturation,5303309,4,1,8.256544739888035,9.311361111111115,11.328272619181122,8.256544739888035,-8.256544739888035,0,0,0,0,,,True
oxygen_saturation,53033100,12,1,14.2832297173115,13.275,-7.5949507895404835,14.2832297173115,1.5412044514140717,8,6,2,3,0.75,0.6666666666666666,True
oxygen_saturation,53033101,15,1,4.797798882232351,5.230699999999999,8.276160318268062,4.797798882232351,3.1269883020913074,4,3,1,0,0.75,1.0,True
oxygen_saturation,53033102,5,1,8.475924475981573,8.994499999999999,5.765473611856417,8.475924475981573,3.419167140392581,2,1,1,1,0.5,0.5,True
