target,segment,samples,sites,MAE_transformed,baseline_MAE_transformed,improvement_percent,source_MAE,source_bias,events,caught,missed,false_flags,recall,precision,small_sample
ecoli,winter,112,45,1.9165294062968097,2.218698027292089,13.619186445307957,108.88823028774823,-91.21255509893366,14,0,14,0,0.0,,False
hardness,autumn,79,28,0.1792095739906341,0.1733235899915846,-3.395950891240658,19.26741798119355,-10.062635899753264,15,14,1,37,0.9333333333333333,0.27450980392156865,False
hardness,spring,127,34,0.24232325971434124,0.2617260638243572,7.413401564407078,22.78706457485537,-12.057670301505217,21,16,5,44,0.7619047619047619,0.26666666666666666,False
hardness,summer,89,30,0.1901360102721342,0.1956353982376739,2.8110393185892626,22.886306800396035,-18.458080442456236,25,20,5,35,0.8,0.36363636363636365,False
hardness,winter,133,35,0.229431627754767,0.2366643406400002,3.056105903269631,25.549837682699444,-16.10666288802552,28,18,10,54,0.6428571428571429,0.25,False
nitrate,autumn,29,22,0.1289289545996621,0.1289289545996621,0.0,0.3207923917384716,-0.2659812842244908,5,5,0,23,1.0,0.17857142857142858,False
nitrate,spring,70,22,0.17622228917283858,0.17622228917283858,0.0,0.4052169306827251,0.013152529110072598,4,3,1,63,0.75,0.045454545454545456,False
nitrate,summer,42,22,0.118859981372481,0.118859981372481,0.0,0.30038466084615545,-0.1094571039099255,4,4,0,36,1.0,0.1,False
nitrate,winter,46,19,0.3048728589154933,0.3048728589154933,0.0,0.7340385377155616,0.27922299737388756,6,6,0,39,1.0,0.13333333333333333,False
other_coliform,autumn,24,14,0.6668246755791989,0.6668246755791989,0.0,3563.8879166666666,1561.1112499999992,15,11,4,2,0.7333333333333333,0.8461538461538461,False
other_coliform,spring,71,29,0.9064131635728513,0.9064131635728513,0.0,913.2337323943663,241.69584507042262,2,0,2,1,0.0,0.0,False
other_coliform,summer,32,17,0.815906817943138,0.815906817943138,0.0,2353.1253125000003,-2119.7921875,14,0,14,1,0.0,0.0,False
other_coliform,winter,37,22,1.97935395367078,1.97935395367078,0.0,2899.57472972973,1555.435,4,0,4,2,0.0,0.0,False
oxygen_saturation,autumn,116,56,5.89909959325042,6.204717628755345,4.925575244368237,5.89909959325042,-1.1807017461070155,26,22,4,3,0.8461538461538461,0.88,False
oxygen_saturation,spring,177,50,6.346329419906552,5.396997255804459,-17.590006425908186,6.346329419906552,-1.609362525371518,23,18,5,4,0.782608695652174,0.8181818181818182,False
oxygen_saturation,summer,137,54,6.816019503834806,7.264111612333327,6.1685741135602985,6.816019503834806,0.6594647611136355,33,25,8,4,0.7575757575757576,0.8620689655172413,False
oxygen_saturation,winter,182,59,5.984783296587247,5.374046915386201,-11.364552465153832,5.984783296587247,-2.4533735507509857,25,20,5,9,0.8,0.6896551724137931,False
ph,autumn,114,56,0.3509649122807017,0.3509649122807017,0.0,0.3509649122807017,0.045350877192982454,29,26,3,44,0.896551724137931,0.37142857142857144,False
ph,spring,190,51,0.2357368421052632,0.2357368421052632,0.0,0.2357368421052632,-0.028052631578947367,22,18,4,103,0.8181818181818182,0.1487603305785124,False
ph,summer,142,54,0.21915492957746477,0.21915492957746477,0.0,0.21915492957746477,-0.019436619718309883,19,16,3,76,0.8421052631578947,0.17391304347826086,False
ph,winter,185,59,0.2546302702702703,0.2546302702702703,0.0,0.2546302702702703,0.04270270270270272,29,25,4,83,0.8620689655172413,0.23148148148148148,False
salinity,autumn,11,11,0.039458233575166576,0.028433838511917955,-38.77209564451799,0.04267714079072465,0.04267714079072465,3,1,2,6,0.3333333333333333,0.14285714285714285,True
salinity,summer,14,8,0.027293449387187283,0.024311458118311504,-12.265785352585368,0.031241139002747935,-0.025914589087380528,4,4,0,3,1.0,0.5714285714285714,True
salinity,winter,8,8,0.04851528165353031,0.0399113586067659,-21.5575799649823,0.05454701934452652,-0.05454701934452652,4,2,2,0,0.5,1.0,True
turbidity_legacy,autumn,74,26,0.2528677384524399,0.2528677384524399,0.0,1.916376992833662,-1.0785391549958239,14,10,4,23,0.7142857142857143,0.30303030303030304,False
turbidity_legacy,spring,120,29,0.3393794332317588,0.3393794332317588,0.0,2.409154389082306,-1.8758210557489723,29,25,4,37,0.8620689655172413,0.4032258064516129,False
turbidity_legacy,summer,90,27,0.35032663234067357,0.35032663234067357,0.0,2.1790742258118287,-1.8794013063843045,27,21,6,23,0.7777777777777778,0.4772727272727273,False
turbidity_legacy,winter,128,32,0.5216042376176184,0.5216042376176184,0.0,9.291438787700308,-9.087497512154817,45,37,8,41,0.8222222222222222,0.47435897435897434,False
turbidity_reported,autumn,64,40,0.3665554459815009,0.3665554459815009,0.0,1.8945713217752733,-0.16886222686683527,10,6,4,16,0.6,0.2727272727272727,False
turbidity_reported,spring,93,32,0.426061189946123,0.426061189946123,0.0,3.666692801088496,1.1609704187190104,12,7,5,4,0.5833333333333334,0.6363636363636364,False
turbidity_reported,summer,67,35,0.40395464600655445,0.40395464600655445,0.0,7.359498007324054,-4.96939426413026,17,12,5,11,0.7058823529411765,0.5217391304347826,False
turbidity_reported,winter,86,40,0.6873053466862958,0.6873053466862958,0.0,15.045847726430226,-9.61136981366011,18,7,11,7,0.3888888888888889,0.5,False
water_temperature,autumn,116,56,1.5437355715687677,2.156670582769721,28.420428047652354,1.5437355715687677,-0.665468984932096,18,11,7,6,0.6111111111111112,0.6470588235294118,False
water_temperature,spring,190,51,1.1991738284301328,1.6018243551769866,25.136996165997534,1.1991738284301328,0.4495086421591566,5,0,5,0,0.0,,False
water_temperature,summer,142,54,1.1987762266439321,3.2618204311338115,63.24824581998107,1.1987762266439321,-0.042274811098409346,77,72,5,33,0.935064935064935,0.6857142857142857,False
water_temperature,winter,186,60,1.8758784576535255,2.2098455998153583,15.112691230090336,1.8758784576535255,-0.20509225062185113,0,0,0,0,,,False
