csv_line,target,reported,candidate_formula,matches_candidate_formula
1166,alkalinity,80.0,80.0,True
1167,alkalinity,85.0,85.0,True
1168,alkalinity,85.0,85.0,True
1169,alkalinity,75.0,75.0,True
1170,alkalinity,50.0,50.0,True
1171,alkalinity,65.0,65.0,True
1172,alkalinity,90.0,90.0,True
1173,alkalinity,70.0,70.0,True
1174,alkalinity,80.0,80.0,True
1175,alkalinity,95.0,95.0,True
1176,alkalinity,50.0,50.0,True
1177,alkalinity,80.0,80.0,True
1178,alkalinity,80.0,80.0,True
1179,alkalinity,75.0,75.0,True
1180,alkalinity,80.0,80.0,True
1181,alkalinity,80.0,80.0,True
1182,alkalinity,50.0,50.0,True
1183,alkalinity,55.0,55.0,True
1184,alkalinity,90.0,90.0,True
1185,alkalinity,90.0,90.0,True
1186,alkalinity,60.0,60.0,True
1187,alkalinity,60.0,60.0,True
1188,alkalinity,90.0,90.0,True
1189,alkalinity,85.0,85.0,True
1190,alkalinity,80.0,80.0,True
1191,alkalinity,55.0,55.0,True
1192,alkalinity,85.0,85.0,True
1193,alkalinity,85.0,85.0,True
1194,alkalinity,70.0,70.0,True
1195,alkalinity,90.0,90.0,True
1196,alkalinity,45.0,45.0,True
1197,alkalinity,75.0,75.0,True
1198,alkalinity,60.0,60.0,True
1201,alkalinity,95.0,95.0,True
1202,alkalinity,75.0,75.0,True
1203,alkalinity,100.0,100.0,True
1204,alkalinity,95.0,95.0,True
1205,alkalinity,45.0,45.0,True
1206,alkalinity,55.0,55.0,True
1207,alkalinity,65.0,65.0,True
1208,alkalinity,70.0,70.0,True
1209,alkalinity,55.0,55.0,True
1210,alkalinity,70.0,70.0,True
1211,alkalinity,80.0,80.0,True
1212,alkalinity,0.0,0.0,True
1213,alkalinity,110.0,110.0,True
1214,alkalinity,95.0,95.0,True
1215,alkalinity,95.0,95.0,True
1216,alkalinity,60.0,60.0,True
1217,alkalinity,50.0,50.0,True
1218,alkalinity,100.0,100.0,True
1219,alkalinity,60.0,60.0,True
1220,alkalinity,40.0,40.0,True
1221,alkalinity,50.0,50.0,True
1222,alkalinity,60.0,60.0,True
1223,alkalinity,70.0,70.0,True
1224,alkalinity,85.0,85.0,True
1225,alkalinity,90.0,90.0,True
1226,alkalinity,100.0,100.0,True
1227,alkalinity,90.0,90.0,True
1228,alkalinity,45.0,45.0,True
1229,alkalinity,75.0,75.0,True
1230,alkalinity,65.0,65.0,True
1231,alkalinity,65.0,65.0,True
1232,alkalinity,90.0,90.0,True
1233,alkalinity,100.0,100.0,True
1234,alkalinity,105.0,105.0,True
1235,alkalinity,95.0,95.0,True
1236,alkalinity,85.0,85.0,True
1237,alkalinity,70.0,70.0,True
