site,target,planned_sample_date,issue_date,status,predicted,experimental_tail_probability,experimental_flag,target_age_days,selected_model,risk_model
241118182150,conductivity,2026-04-20,2026-04-13,eligible,248.40907583950963,0.18059299191374664,False,106.0,forest,constant_prevalence
241118182150,nitrate,2026-04-20,2026-04-13,eligible,1.5,0.45321920607470323,True,106.0,site_median,forest
241118182150,phosphate,2026-04-20,2026-04-13,insufficient_training_history,,,,,,
241118182150,turbidity_reported,2026-04-20,2026-04-13,eligible,1.2528638904094493,0.15292377461278897,False,106.0,site_seasonal,forest
241118182150,turbidity_legacy,2026-04-20,2026-04-13,fewer_than_two_available_target_samples,,,,,,
241118182150,suspended_solids,2026-04-20,2026-04-13,insufficient_training_history,,,,,,
241118182150,alkalinity,2026-04-20,2026-04-13,fewer_than_two_available_target_samples,,,,,,
241118182150,hardness,2026-04-20,2026-04-13,fewer_than_two_available_target_samples,,,,,,
241118182150,salinity,2026-04-20,2026-04-13,fewer_than_two_available_target_samples,,,,,,
241118182245,ecoli,2026-04-20,2026-04-13,eligible,4.571670078117782,0.23236009732360097,False,43.0,forest,constant_prevalence
241118182245,other_coliform,2026-04-20,2026-04-13,eligible,166.66999999999993,0.01569986532569262,False,43.0,last_observation,forest
241118182245,water_temperature,2026-04-20,2026-04-13,eligible,11.145474090146903,0.028138121071082066,False,60.0,forest,forest
241118182245,dissolved_oxygen,2026-04-20,2026-04-13,eligible,10.444803466138595,0.005440138808559861,False,60.0,forest,forest
241118182245,oxygen_saturation,2026-04-20,2026-04-13,eligible,94.33111492668321,0.05551984996680108,False,60.0,forest,forest
241118182245,ph,2026-04-20,2026-04-13,eligible,7.64,0.19395995880581796,True,60.0,last_observation,forest
241118182245,conductivity,2026-04-20,2026-04-13,eligible,252.53920566592132,0.18059299191374664,False,106.0,forest,constant_prevalence
241118182245,nitrate,2026-04-20,2026-04-13,eligible,1.5999999999999999,0.33981459789164453,True,60.0,site_median,forest
241118182245,phosphate,2026-04-20,2026-04-13,insufficient_training_history,,,,,,
241118182245,turbidity_reported,2026-04-20,2026-04-13,eligible,1.2361470477140748,0.14831164804164143,False,60.0,site_seasonal,forest
241118182245,turbidity_legacy,2026-04-20,2026-04-13,fewer_than_two_available_target_samples,,,,,,
241118182245,suspended_solids,2026-04-20,2026-04-13,insufficient_training_history,,,,,,
241118182245,alkalinity,2026-04-20,2026-04-13,fewer_than_two_available_target_samples,,,,,,
241118182245,hardness,2026-04-20,2026-04-13,fewer_than_two_available_target_samples,,,,,,
