target,scenario,original_samples,excluded_samples,samples,sites,MAE_transformed,baseline_MAE_transformed,improvement_percent,source_MAE,source_bias,events,caught,missed,false_flags,recall,precision
oxygen_saturation,all_test_observations,612,0,612,66,6.259184791086202,5.9612346220636665,-4.998128540684597,6.259184791086202,-1.2712187638942547,107,85,22,20,0.794392523364486,0.8095238095238095
oxygen_saturation,exclude_ambiguous_site_labels,612,184,428,57,6.953474619202946,6.400361137564409,-8.64191050708458,6.953474619202946,-1.3518982643445179,97,76,21,19,0.7835051546391752,0.8
oxygen_saturation,exclude_protocol_formula_flags,612,0,612,66,6.259184791086202,5.9612346220636665,-4.998128540684597,6.259184791086202,-1.2712187638942547,107,85,22,20,0.794392523364486,0.8095238095238095
oxygen_saturation,exclude_any_formula_difference,612,0,612,66,6.259184791086202,5.9612346220636665,-4.998128540684597,6.259184791086202,-1.2712187638942547,107,85,22,20,0.794392523364486,0.8095238095238095
oxygen_saturation,reported_turbidity_meter_only,612,0,612,66,6.259184791086202,5.9612346220636665,-4.998128540684597,6.259184791086202,-1.2712187638942547,107,85,22,20,0.794392523364486,0.8095238095238095
oxygen_saturation,combined_conservative_subset,612,184,428,57,6.953474619202946,6.400361137564409,-8.64191050708458,6.953474619202946,-1.3518982643445179,97,76,21,19,0.7835051546391752,0.8
ph,all_test_observations,631,0,631,66,0.2583622820919176,0.2583622820919176,0.0,0.2583622820919176,0.007892234548335974,99,85,14,306,0.8585858585858586,0.21739130434782608
ph,exclude_ambiguous_site_labels,631,197,434,57,0.26365576036866356,0.26365576036866356,0.0,0.26365576036866356,0.014930875576036865,60,53,7,199,0.8833333333333333,0.21031746031746032
ph,exclude_protocol_formula_flags,631,0,631,66,0.2583622820919176,0.2583622820919176,0.0,0.2583622820919176,0.007892234548335974,99,85,14,306,0.8585858585858586,0.21739130434782608
ph,exclude_any_formula_difference,631,0,631,66,0.2583622820919176,0.2583622820919176,0.0,0.2583622820919176,0.007892234548335974,99,85,14,306,0.8585858585858586,0.21739130434782608
ph,reported_turbidity_meter_only,631,0,631,66,0.2583622820919176,0.2583622820919176,0.0,0.2583622820919176,0.007892234548335974,99,85,14,306,0.8585858585858586,0.21739130434782608
ph,combined_conservative_subset,631,197,434,57,0.26365576036866356,0.26365576036866356,0.0,0.26365576036866356,0.014930875576036865,60,53,7,199,0.8833333333333333,0.21031746031746032
salinity,all_test_observations,33,0,33,13,0.03649306405986961,0.02946737897398745,-23.84224634326703,0.040703049984625886,-0.009991874341865709,11,7,4,9,0.6363636363636364,0.4375
salinity,exclude_ambiguous_site_labels,33,0,33,13,0.03649306405986961,0.02946737897398745,-23.84224634326703,0.040703049984625886,-0.009991874341865709,11,7,4,9,0.6363636363636364,0.4375
salinity,exclude_protocol_formula_flags,33,0,33,13,0.03649306405986961,0.02946737897398745,-23.84224634326703,0.040703049984625886,-0.009991874341865709,11,7,4,9,0.6363636363636364,0.4375
salinity,exclude_any_formula_difference,33,0,33,13,0.03649306405986961,0.02946737897398745,-23.84224634326703,0.040703049984625886,-0.009991874341865709,11,7,4,9,0.6363636363636364,0.4375
salinity,reported_turbidity_meter_only,33,0,33,13,0.03649306405986961,0.02946737897398745,-23.84224634326703,0.040703049984625886,-0.009991874341865709,11,7,4,9,0.6363636363636364,0.4375
salinity,combined_conservative_subset,33,0,33,13,0.03649306405986961,0.02946737897398745,-23.84224634326703,0.040703049984625886,-0.009991874341865709,11,7,4,9,0.6363636363636364,0.4375
turbidity_legacy,all_test_observations,412,0,412,32,0.3828458348519596,0.3828458348519596,0.0,4.408571042010369,-3.973922872063038,115,93,22,124,0.808695652173913,0.42857142857142855
turbidity_legacy,exclude_ambiguous_site_labels,412,190,222,23,0.24687327151451063,0.24687327151451063,0.0,5.220177829823047,-4.485605550461336,55,46,9,67,0.8363636363636363,0.40707964601769914
turbidity_legacy,exclude_protocol_formula_flags,412,0,412,32,0.3828458348519596,0.3828458348519596,0.0,4.408571042010369,-3.973922872063038,115,93,22,124,0.808695652173913,0.42857142857142855
turbidity_legacy,exclude_any_formula_difference,412,0,412,32,0.3828458348519596,0.3828458348519596,0.0,4.408571042010369,-3.973922872063038,115,93,22,124,0.808695652173913,0.42857142857142855
turbidity_legacy,reported_turbidity_meter_only,412,0,412,32,0.3828458348519596,0.3828458348519596,0.0,4.408571042010369,-3.973922872063038,115,93,22,124,0.808695652173913,0.42857142857142855
turbidity_legacy,combined_conservative_subset,412,190,222,23,0.24687327151451063,0.24687327151451063,0.0,5.220177829823047,-4.485605550461336,55,46,9,67,0.8363636363636363,0.40707964601769914
turbidity_reported,all_test_observations,310,0,310,48,0.4814724525976326,0.4814724525976326,0.0,7.255755696963094,-3.4269811395164718,57,32,25,38,0.5614035087719298,0.45714285714285713
turbidity_reported,exclude_ambiguous_site_labels,310,10,300,45,0.48788696182456637,0.48788696182456637,0.0,7.231011679816754,-3.3278163845454656,56,32,24,37,0.5714285714285714,0.463768115942029
turbidity_reported,exclude_protocol_formula_flags,310,0,310,48,0.4814724525976326,0.4814724525976326,0.0,7.255755696963094,-3.4269811395164718,57,32,25,38,0.5614035087719298,0.45714285714285713
turbidity_reported,exclude_any_formula_difference,310,0,310,48,0.4814724525976326,0.4814724525976326,0.0,7.255755696963094,-3.4269811395164718,57,32,25,38,0.5614035087719298,0.45714285714285713
turbidity_reported,reported_turbidity_meter_only,310,165,145,20,0.7458013314537595,0.7458013314537595,0.0,10.495193085776911,-2.877448647610634,32,11,21,13,0.34375,0.4583333333333333
turbidity_reported,combined_conservative_subset,310,165,145,20,0.7458013314537595,0.7458013314537595,0.0,10.495193085776911,-2.877448647610634,32,11,21,13,0.34375,0.4583333333333333
water_temperature,all_test_observations,634,0,634,66,1.460656105695105,2.2535176622580013,35.183285662312365,1.460656105695105,-0.056684451156974514,100,83,17,39,0.83,0.680327868852459
water_temperature,exclude_ambiguous_site_labels,634,197,437,57,1.5613160374096637,2.515407830346618,37.92990470278858,1.5613160374096637,0.08341639785213507,80,68,12,26,0.85,0.723404255319149
water_temperature,exclude_protocol_formula_flags,634,0,634,66,1.460656105695105,2.2535176622580013,35.183285662312365,1.460656105695105,-0.056684451156974514,100,83,17,39,0.83,0.680327868852459
water_temperature,exclude_any_formula_difference,634,0,634,66,1.460656105695105,2.2535176622580013,35.183285662312365,1.460656105695105,-0.056684451156974514,100,83,17,39,0.83,0.680327868852459
water_temperature,reported_turbidity_meter_only,634,0,634,66,1.460656105695105,2.2535176622580013,35.183285662312365,1.460656105695105,-0.056684451156974514,100,83,17,39,0.83,0.680327868852459
water_temperature,combined_conservative_subset,634,197,437,57,1.5613160374096637,2.515407830346618,37.92990470278858,1.5613160374096637,0.08341639785213507,80,68,12,26,0.85,0.723404255319149
